ID , Name , CAS , Year , Status , Is_a_Metabolite , Has_a_Metabolite , Route , VD(hour) , Cl(liter/hour) , t1/2(hour) , PPB(percentage) , F(percentage) , Cmax , Cmax_unit , Tmax(hour) , Solubility
642, DAPIPRAZOLE , 72822-12-9 ,1990,  ,  ,  , OPHTHALMIC ,,,5,,,,  ,, 
643, BENAZEPRIL , 86541-75-5 ,1991,  ,  ,  1696  , ORAL ,,,,96.7,37,,  ,0.75, SOLUBILITY SOLUBLE IN WATER
644, PENICILLAMINE , 52-67-5 ,1970,  ,  ,  , ORAL ,,,4.3,80,55,10, MICROMOLAR ,2, SOLUBILITY FREELY SOLUBLE IN WATER
645, SOTALOL , 3930-20-9 ,1992,  ,  ,  , ORAL INTRAVENOUS ,84.5,7.8,12,0,95,,  ,3, SOLUBILITY SOLUBLE IN WATER
646, SOTALOL , 3930-20-9 ,1992,  ,  ,  , ORAL INTRAVENOUS ,84.5,7.8,12,0,95,,  ,3, SOLUBILITY SOLUBLE IN WATER
647, QUINAPRIL , 85441-61-8 ,1991,  ,  ,  1695  , ORAL ,,,,97,60,,  ,1, SOLUBILITY FREELY SOLUBLE IN WATER
648, PRAVASTATIN , 81093-37-0 ,1991,  ,  ,  , ORAL ,29.9,54.6,1.8,50,17,62.5, NANOMOLAR ,1.25, SOLUBILITY SOLUBLE IN WATER
649, RAMIPRIL , 87333-19-5 ,1991,  ,  ,  1694  , ORAL ,,,,73,28,,  ,1, 
650, CLOMIPRAMINE , 303-49-1 ,1989,  ,  ,  1693  , ORAL ,845,31.9,32,97,,693, NANOMOLAR ,4, SOLUBILITY FREELY SOLUBLE IN WATER
651, METIPRANOLOL , 22664-55-7 ,1989,  ,  ,  , OPHTHALMIC ,,,,,,,  ,, 
652, ZOLPIDEM , 82626-48-0 ,1992,  ,  ,  , ORAL SUBLINGUAL ,31.5,16.7,2.5,92.5,,394, NANOMOLAR ,1.6, SOLUBILITY SPARINGLY SOLUBLE IN WATER
653, FOSINOPRIL , 98048-97-6 ,1991,  ,  ,  1692  , ORAL ,,,,,36,,  ,, SOLUBILITY SOLUBLE IN WATER
654, ALTRETAMINE , 645-05-6 ,1990, DISCONTINUED ,  ,  , ORAL ,,,,94,,99, MICROMOLAR ,1.5, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
655, ADENOSINE , 58-61-7 ,1989,  ,  ,  , INJECTION INTRAVENOUS ,,,,,,,  ,, SOLUBILITY SOLUBLE IN WATER
656, MASOPROCOL , 27686-84-6 ,1992, DISCONTINUED ,  ,  , TOPICAL ,,,,,,,  ,, SOLUBILITY LIMITED WATER SOLUBILITY
657, DOXACURIUM , 106819-53-8 ,1991, DISCONTINUED ,  ,  , INJECTION ,14.3,9.8,1.6,47,,,  ,, 
658, FLUCONAZOLE , 86386-73-4 ,1990,  ,  ,  , ORAL INJECTION ,48.7,0.9,30,60,90,21.9, MICROMOLAR ,1.5, SOLUBILITY SLIGHTLY SOLUBLE IN WATER
659, FLUTICASONE PROPIONATE , 80474-14-2 ,1990,  ,  ,  , TOPICAL NASAL INHALATION ,273,65.5,10,91,,0.44, NANOMOLAR ,, SOLUBILITY INSOLUBLE IN WATER
660, HALOBETASOL PROPIONATE , 66852-54-8 ,1990,  ,  ,  1691  , TOPICAL ,,,,,,,  ,, SOLUBILITY INSOLUBLE IN WATER
661, TICLOPIDINE , 55142-85-3 ,1991,  ,  ,  1689  1690  , ORAL ,,,108,98,80,,  ,2, SOLUBILITY FREELY SOLUBLE IN WATER
662, BISOPROLOL , 66722-44-9 ,1992,  ,  ,  , ORAL ,156,14.4,10,30,80,0.21, MICROMOLAR ,3, SOLUBILITY SOLUBLE IN WATER
663, SUCCIMER , 304-55-2 ,1991,  ,  ,  , ORAL ,,,48,95,20,,  ,1.5, 
664, ONDANSETRON , 99614-02-5 ,1991,  ,  ,  , INJECTION ORAL ,107,24.7,3.5,73,,0.34, MICROMOLAR ,, SOLUBILITY SOLUBLE IN WATER
665, LOMEFLOXACIN , 98079-51-7 ,1992, DISCONTINUED ,  ,  , ORAL ,97,8.7,7.75,10,97,9.1, MICROMOLAR ,, SOLUBILITY SLIGHTLY SOLUBLE IN WATER
666, PAROXETINE , 61869-08-7 ,1992,  ,  ,  , ORAL ,1170,70.2,21,94,,187, NANOMOLAR ,5.2, SOLUBILITY OF 5.4 MILLIGRAM / MILLILITER IN WATER
667, PHENIRAMINE , 86-21-5 ,1994,  ,  ,  , OPHTHALMIC ,,,,,,,  ,, 
668, LEVAMISOLE , 14769-73-4 ,1990, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, 
669, FLUDARABINE PHOSPHATE , 75607-67-9 ,1991,  ,  ,  1688  , INJECTION ORAL ,,,,,,,  ,, 
670, TYLOXAPOL , 140-66-9 ,1990, DISCONTINUED ,  ,  , INTRATRACHEAL ,,,,,,,  ,, 
671, ITRACONAZOLE , 84625-61-6 ,1992,  ,  ,  , ORAL INJECTION ,796,22.8,64,99.8,55,3.2, MICROMOLAR ,4.6, SOLUBILITY INSOLUBLE IN WATER
672, AZELASTINE , 58581-89-8 ,1996,  ,  ,  , NASAL OPHTHALMIC ,942,32.5,22,88,40,,  ,2.5, SOLUBILITY SPARINGLY SOLUBLE IN WATER
673, PHENIRAMINE , 86-21-5 ,1994,  ,  ,  , OPHTHALMIC ,,,,,,,  ,, 
674, FOSCARNET , 4428-95-9 ,1991,  ,  ,  , INJECTION ,33.8,7.1,3.3,16,,623, MICROMOLAR ,, 
675, TACRINE , 321-64-2 ,1993, DISCONTINUED ,  ,  , ORAL ,349,218,3,55,17,,  ,1.5, SOLUBILITY FREELY SOLUBLE IN DISTILLED WATER
676, DESOGESTREL , 54024-22-5 ,1992,  ,  ,  866  , ORAL ,,,,,84,,  ,, 
677, FLUMAZENIL , 78755-81-4 ,1991,  ,  ,  , INJECTION ,65,58.5,1,50,,79, NANOMOLAR ,, SOLUBILITY INSOLUBLE IN WATER
678, ITRACONAZOLE , 84625-61-6 ,1992,  ,  ,  , ORAL INJECTION ,796,22.8,64,99.8,55,3.2, MICROMOLAR ,4.6, SOLUBILITY INSOLUBLE IN WATER
679, MIVACURIUM , 133814-19-4 ,1992, DISCONTINUED ,  ,  , INTRAVENOUS INJECTION ,9.5,206,0.03,30,,,  ,, 
680, AZELASTINE , 58581-89-8 ,1996,  ,  ,  , NASAL OPHTHALMIC ,942,32.5,22,88,40,,  ,2.5, SOLUBILITY SPARINGLY SOLUBLE IN WATER
681, DESFLURANE , 57041-67-5 ,1992,  ,  ,  , INHALATION ,,,,,,,  ,, 
682, TENIPOSIDE , 29767-20-2 ,1992, DISCONTINUED ,  ,  , INJECTION ,41,0.99,5,99,,,  ,, SOLUBILITY INSOLUBLE IN WATER
683, PENTOSTATIN , 53910-25-1 ,1991,  ,  ,  , INJECTION ,37,6.5,6,3.8,,1.7, MICROMOLAR ,, 
684, BUDESONIDE , 51333-22-3 ,1994,  ,  ,  , NASAL INHALATION ORAL RECTAL ,195,72,2.5,87.5,9,2.6, NANOMOLAR ,1.5, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER (LOGP=1.6)
685, VENLAFAXINE , 93413-69-5 ,1993,  ,  ,  1432  1433  , ORAL ,487,84.5,5,27,92,812, NANOMOLAR ,2, SOLUBILITY 572 MILLIGRAM / MILLILITER IN WATER (LOGP 0.43)
686, VENLAFAXINE , 93413-69-5 ,1993,  ,  ,  1432  1433  , ORAL ,487,84.5,5,27,92,812, NANOMOLAR ,2, SOLUBILITY 572 MILLIGRAM / MILLILITER IN WATER (LOGP 0.43)
687, NEFAZODONE , 83366-66-9 ,1994,  ,  ,  , ORAL ,35.4,29.2,3,99,20,,  ,1, SOLUBILITY SLIGHTLY SOLUBLE IN WATER
688, DIDANOSINE , 69655-05-6 ,1991,  ,  ,  1686  , ORAL ,70.3,50,1.5,5,42,,  ,0.8, SOLUBILITY IN WATER 27.3 MILLIGRAM / MILLILITER (PH=6)
689, ALATROFLOXACIN , 146961-76-4 ,1997, DISCONTINUED ,  ,  1276  , INJECTION ,,,,,,,  ,, 
690, NILUTAMIDE , 63612-50-0 ,1996,  ,  ,  , ORAL ,,,45,82,100,,  ,, SOLUBILITY SLIGHTLY SOLUBLE IN WATER
691, FINASTERIDE , 98319-26-7 ,1992,  ,  ,  , ORAL ,76,9.9,6,90,63,99.4, NANOMOLAR ,1.5, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
692, PERINDOPRIL , 82834-16-0 ,1993,  ,  ,  1685  , ORAL ,,,0.9,60,75,,  ,1, SOLUBILITY FREELY SOLUBLE IN WATER
693, FELBAMATE , 25451-15-4 ,1993,  ,  ,  , ORAL ,49.1,1.6,21.5,25,90,,  ,, SOLUBILITY VERY SLIGHTLY SOLUBLE IN WATER
694, TERBINAFINE , 91161-71-6 ,1992,  ,  ,  , TOPICAL ORAL ,818,27,21,99,70,23.5, NANOMOLAR ,2, SOLUBILITY SLIGHTLY SOLUBLE IN WATER
695, ZALCITABINE , 7481-89-2 ,1992, DISCONTINUED ,  ,  1684  , ORAL ,34.7,17.1,2,,80,119.4, NANOMOLAR ,0.8, SOLUBILITY 76.4 MILLIGRAM / MILLILITER IN WATER
696, CISAPRIDE , 81098-60-4 ,1993, DISCONTINUED ,  ,  , ORAL ,180,6,4,98,37.5,,  ,1.25, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
697, DEXRAZOXANE , 24584-09-6 ,1995,  ,  ,  , INJECTION ,35.4,10,2.1,0,,,  ,, SOLUBILITY SPARINGLY SOLUBLE IN WATER
698, LEVOCABASTINE , 79516-68-0 ,1993, DISCONTINUED ,  ,  , OPHTHALMIC ,,,,,,,  ,, 
699, AMIFOSTINE , 20537-88-6 ,1995,  ,  ,  1683  , INJECTION ,7,120,0.13,,,200, MICROMOLAR ,, SOLUBILITY FREELY SOLUBLE IN WATER
700, CANDESARTAN CILEXETIL , 145040-37-5 ,1998,  ,  ,  1557  , ORAL ,,,,,,,  ,, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
701, CLADRIBINE , 4291-63-8 ,1993,  ,  ,  1682  , INJECTION ORAL ,292.5,63.5,5.4,20,,,  ,, 
702, TRICLOSAN , 3380-34-5 ,1997, DISCONTINUED ,  ,  , DENTAL ,,,,,,,  ,, 
703, BUDESONIDE , 51333-22-3 ,1994,  ,  ,  , NASAL INHALATION ORAL RECTAL ,195,72,2.5,87.5,9,2.6, NANOMOLAR ,1.5, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER (LOGP=1.6)
704, GABAPENTIN , 60142-96-3 ,1993,  ,  1507  1508  ,  , ORAL ,76,7.6,5.5,3,75,16.26, MICROMOLAR ,, SOLUBILITY FREELY SOLUBLE IN WATER
705, GRANISETRON , 109889-09-0 ,1993,  ,  ,  , INJECTION ORAL TRANSDERMAL SUBCUTANEOUS ,197,51.3,4.9,65,,206, NANOMOLAR ,, SOLUBILITY READILY SOLUBLE IN WATER
706, SPIRAPRIL , 83647-97-6 ,0, DISCONTINUED ,  ,  1681  , ORAL ,,,,,,,  ,, 
707, LAMOTRIGINE , 84057-84-1 ,1994,  ,  ,  , ORAL ,71.5,2.2,25.4,55,98,,  ,1.7, SOLUBILITY VERY SLIGHTLY SOLUBLE IN WATER (0.17 MILLIGRAM / MILLILITER)
708, FLUVOXAMINE , 54739-18-3 ,1994,  ,  ,  , ORAL ,1625,72,15.6,80,53,1.71, MICROMOLAR ,5.5, SOLUBILITY SPARINGLY SOLUBLE IN WATER
709, HALOFANTRINE , 69756-53-2 ,1992, DISCONTINUED ,  ,  , ORAL ,,,192,,,9.8, MICROMOLAR ,, SOLUBILITY PRATICALLY INSOLUBLE IN WATER
710, ATOVAQUONE , 95233-18-4 ,1992,  ,  ,  , ORAL ,39,0.6,62.5,99.9,47,41.2, MICROMOLAR ,, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
711, FLUVASTATIN , 93957-54-1 ,1993,  ,  ,  , ORAL ,22.7,5.2,3,98,24,,  ,1, SOLUBILITY SOLUBLE IN WATER
712, PACLITAXEL , 33069-62-4 ,1992,  ,  ,  , INJECTION IV ,736,19.6,20.2,93,,4.3, MICROMOLAR ,, SOLUBILITY INSOLUBLE IN WATER
713, RISPERIDONE , 106266-06-2 ,1993,  ,  ,  949  1205  , ORAL INTRAMUSCULAR SUBCUTANEOUS ,97.5,21,3,90,70,,  ,1, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
714, TRAMADOL , 181289-59-8 ,1995,  ,  ,  1674  1676  1678  1680  , ORAL ,188,23,6.7,20,75,2.25, MICROMOLAR ,2.3, SOLUBILITY READILY SOLUBLE IN WATER (LOGP=1.35)
715, CARVEDILOL , 72956-09-3 ,1995,  ,  ,  , ORAL ,115,36,8.5,98,30,,  ,, SOLUBILITY PRATICALLY INSOLUBLE IN WATER
716, MOEXIPRIL , 103775-10-6 ,1995,  ,  ,  1673  , ORAL ,,26.4,,,13,,  ,, SOLUBILITY SOLUBLE IN WATER
717, ANAGRELIDE , 68475-42-3 ,1997,  ,  ,  , ORAL ,,,1.5,,70,,  ,1, SOLUBILITY VERY SLIGHTLY SOLUBLE IN WATER
718, ADAPALENE , 106685-40-9 ,1996,  ,  ,  , TOPICAL ,,,17.2,,,1.1, NANOMOLAR ,, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
719, MIRTAZAPINE , 61337-67-5 ,1996,  ,  ,  , ORAL ,273,31.2,30,85,50,,  ,2, SOLUBILITY SLIGHTLY SOLUBLE IN WATER
720, NISOLDIPINE , 63675-72-9 ,1995,  ,  ,  , ORAL ,357,58.5,9.5,99,5,,  ,9, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
721, METFORMIN , 657-24-9 ,1995,  ,  ,  , ORAL ,654,28.8,17.6,0,55,13.9, MICROMOLAR ,7, SOLUBILITY FREELY SOLUBLE IN WATER
722, FAMCICLOVIR , 104227-87-4 ,1994,  ,  ,  766  , ORAL ,,,,,77,,  ,, SOLUBILITY IS FREELY SOLUBLE (>25 PERCENT) IN WATER INITIALLY BUT RAPIDLY PRECIPITATES AS THE SPARINGLY SOLUBLE (2-3 PERCENT) MONOHYDRATE
723, LOSARTAN , 114798-26-4 ,1995,  ,  ,  1671  , ORAL ,34,36,2,98.7,33,,  ,1, SOLUBILITY FREELY SOLUBLE IN WATER
724, VINORELBINE , 71486-22-1 ,1994,  ,  ,  , INJECTION ,2128,72.4,35,85.4,,,  ,, SOLUBILITY > 1000 MILLIGRAM / MILLILITER IN WATER
725, TIZANIDINE , 51322-75-9 ,1996,  ,  ,  , ORAL ,156,42.9,2.5,30,40,,  ,, SOLUBILITY SLIGHTLY SOLUBLE IN WATER
726, LANSOPRAZOLE , 103577-45-3 ,1995,  ,  ,  , ORAL INTRAVENOUS ,15.7,11.1,1.3,97,80,4.6, MICROMOLAR ,1.7, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
727, DORZOLAMIDE , 120279-96-1 ,1994,  ,  ,  , OPHTHALMIC ,,,2880,33,,,  ,, SOLUBILITY SOLUBLE IN WATER
728, STAVUDINE , 3056-17-5 ,1994,  ,  ,  , ORAL ,46,35.6,1.6,0,86,2.4, MICROMOLAR ,1, SOLUBILITY 83 MILLIGRAM / MILLILITER IN WATER
729, MIRTAZAPINE , 61337-67-5 ,1996,  ,  ,  , ORAL ,273,31.2,30,85,50,,  ,2, SOLUBILITY SLIGHTLY SOLUBLE IN WATER
730, ARBUTAMINE , 128470-16-6 ,1997, DISCONTINUED ,  ,  , INJECTION ,,,,,,,  ,, 
731, AZELAIC ACID , 123-99-9 ,1995,  ,  ,  , TOPICAL ,,,0.75,,4,335, NANOMOLAR ,, SOLUBILITY POORLY SOLUBLE IN WATER
732, EPOPROSTENOL , 35121-78-9 ,1995,  ,  ,  , INJECTION ,,,0.1,,,,  ,, 
733, DOCETAXEL , 114977-28-5 ,1996,  ,  ,  , INJECTION INTRAVENOUS ,113,33.8,11,97,,,  ,, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
734, FOSPHENYTOIN , 93390-81-9 ,1996,  ,  ,  129  , INJECTION ,7.5,,0.25,97,,,  ,0.25, 
735, ZILEUTON , 111406-87-2 ,1996,  ,  ,  , ORAL ,78,27.3,2.5,93,,21.1, MICROMOLAR ,1.7, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
736, ZILEUTON , 111406-87-2 ,1996,  ,  ,  , ORAL ,78,27.3,2.5,93,,21.1, MICROMOLAR ,1.7, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
737, RIMEXOLONE , 49697-38-3 ,1994, DISCONTINUED ,  ,  , OPHTHALMIC ,,,1.5,,,1.27, NANOMOLAR ,, SOLUBILITY INSOLUBLE IN WATER
738, SEVOFLURANE , 28523-86-6 ,1995,  ,  ,  , INHALATION ,,,,,,,  ,, SOLUBILITY SLIGHTLY SOLUBLE IN WATER
739, ACARBOSE , 56180-94-0 ,1995,  ,  ,  , ORAL ,20.8,8.5,2,,2,,  ,1, SOLUBILITY SOLUBLE IN WATER
740, VALACYCLOVIR , 124832-26-4 ,1995,  ,  ,  525  , ORAL ,,,,15.7,54,17.4, MICROMOLAR ,, SOLUBILITY 174 MILLIGRAM / MILLILITER IN WATER
741, BRIMONIDINE , 59803-98-4 ,1996,  ,  ,  , OPHTHALMIC TOPICAL ,,,3,29,,0.102, NANOMOLAR ,2, SOLUBILITY SOLUBLE IN WATER 34 MILLIGRAM / MILLILITER
742, GLIMEPIRIDE , 93479-97-1 ,1995,  ,  ,  , ORAL ,8.8,2.8,5.08,95.5,100,353, NANOMOLAR ,2.5, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
743, BICALUTAMIDE , 90357-06-5 ,1995,  ,  ,  , ORAL ,64,0.32,139,96,,1.78, MICROMOLAR ,, SOLUBILITY PRATICALLY INSOLUBLE IN WATER AT 37 DEGREE CELCIUS 5 MICROGRAM / MILLILITER
744, TOPIRAMATE , 97240-79-4 ,1996,  ,  ,  , ORAL ,45.4,1.5,21,28,80,,  ,2, SOLUBILITY 9.8 MILLIGRAM / MILLILITER IN WATER
745, GEMCITABINE , 95058-81-4 ,1996,  ,  ,  1668  1669  , INJECTION INTRAVENOUS ,80,88,1,0,,,  ,, SOLUBILITY SOLUBLE IN WATER
746, AMLEXANOX , 68302-57-8 ,1996, DISCONTINUED ,  ,  , DENTAL TOPICAL ,,,3.5,,,402, NANOMOLAR ,2.4, 
747, BUTENAFINE , 101828-21-1 ,1996,  ,  ,  , TOPICAL ,,,,,,4.4, NANOMOLAR ,15, SOLUBILITY SLIGHTLY SOLUBLE IN WATER
748, TRANDOLAPRIL , 87679-37-6 ,1996,  ,  ,  1667  , ORAL ,18,52,6,80,10,,  ,1, 
749, FEXOFENADINE , 138452-21-8 ,1996,  ,  ,  , ORAL ,,,14.4,65,,820, NANOMOLAR ,2.6, SOLUBILITY SLIGHTLY SOLUBLE IN WATER
750, ANASTROZOLE , 120511-73-1 ,1995,  ,  ,  , ORAL ,,,50,40,,,  ,2, SOLUBILITY 0.5 MILLIGRAM / MILLILITER IN WATER
751, ZAFIRLUKAST , 107753-78-6 ,1996,  ,  ,  , ORAL ,70,20,10,99,,567, NANOMOLAR ,3, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
752, CISATRACURIUM , 96946-41-7 ,1983,  ,  ,  , INJECTION ,9.4,17.8,0.36,38,,,  ,, SOLUBILITY LOGP=-2.12
753, ALENDRONATE , 129318-43-0 ,1995,  ,  ,  , ORAL ,28,12,87600,78,0.64,,  ,, SOLUBILITY SOLUBLE IN WATER
754, LAMIVUDINE , 134678-17-4 ,1995,  ,  ,  1666  , ORAL ,84.5,23.9,6,36,87,15.1, MICROMOLAR ,1.3, SOLUBILITY OF 70 MILLIGRAM / MILLILITER IN WATER
755, IRINOTECAN , 97682-44-5 ,1996,  ,  ,  , INJECTION INTRAVENOUS ,376,22.3,8,49,,5.78, MICROMOLAR ,, SOLUBILITY SLIGHTLY SOLUBLE IN WATER
756, BETAINE , 107-43-7 ,1996,  ,  ,  , ORAL ,,,,,,,  ,, SOLUBILITY SOLUBLE IN WATER
757, TAMSULOSIN , 106133-20-4 ,1997,  ,  ,  , ORAL ,16,2.88,14.9,96.5,90,101.9, NANOMOLAR ,5, SOLUBILITY SPARINGLY SOLUBLE IN WATER
758, LOTEPREDNOL ETABONATE , 82034-46-6 ,1998,  ,  ,  , OPHTHALMIC ,,,,,,,  ,, SOLUBILITY NOT SOLUBLE IN WATER (BUT HIGHLY LIPID SOLUBLE)
759, OLANZAPINE , 132539-06-1 ,1996,  ,  ,  , ORAL INTRAMUSCULAR ,1000,25,30,93,,,  ,6, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
760, FEBUXOSTAT , 144060-53-7 ,2009,  ,  ,  , ORAL ,50,5.3,6.5,99.2,49,8.22, MICROMOLAR ,1.25, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
761, LATANOPROST , 130209-82-4 ,1996,  ,  ,  1665  , OPHTHALMIC ,,,,,,,  ,2, SOLUBILITY PRATICALLY INSOLUBLE IN WATER
762, RILUZOLE , 1744-22-5 ,1995,  ,  ,  , ORAL ,245,,12,96,60,739, NANOMOLAR ,, SOLUBILITY VERY SLIGHTLY SOLUBLE IN WATER
763, TAZAROTENE , 118292-40-3 ,1997,  ,  ,  1664  , TOPICAL ,,,6,,,,  ,, 
764, SIBUTRAMINE , 106650-56-0 ,1997, DISCONTINUED ,  ,  1657  1658  1659  1660  , ORAL ,,1750,1.1,97,,,  ,1.2, SOLUBILITY 2.9 MILLIGRAM / MILLILITER IN PH 5.2
765, FEXOFENADINE , 138452-21-8 ,1996,  ,  ,  , ORAL ,,,14.4,65,,820, NANOMOLAR ,2.6, SOLUBILITY SLIGHTLY SOLUBLE IN WATER
766, PENCICLOVIR , 39809-25-1 ,1996,  ,  722  ,  1661  1662  , TOPICAL ,71.5,32.7,2.1,14,,15.8, MICROMOLAR ,0.7, SOLUBILITY OF 1.7 MILLIGRAM / MILLILITER IN WATER
767, REMIFENTANIL , 132875-61-7 ,1996,  ,  ,  , INJECTION ,22.7,156,0.25,70,,,  ,, 
768, SIBUTRAMINE , 106650-56-0 ,1997, DISCONTINUED ,  ,  1657  1658  1659  1660  , ORAL ,,1750,1.1,97,,,  ,1.2, SOLUBILITY 2.9 MILLIGRAM / MILLILITER IN PH 5.2
769, LEVOFLOXACIN , 100986-85-4 ,1990,  ,  ,  , ORAL INJECTION OPHTHALMIC OTIC ,80,7.5,7.9,31,99,33.5, MICROMOLAR ,1.4, SOLUBILITY OF 50 MILLIGRAM / MILLILITER IN WATER
770, NEVIRAPINE , 129618-40-2 ,1996,  ,  ,  , ORAL ,78.6,1.17,45,60,93,16.9, MICROMOLAR ,, 
771, CIDOFOVIR , 113852-37-2 ,1996,  ,  ,  1663  , INJECTION ,26.6,8.8,2.6,6,,70.2, MICROMOLAR ,, SOLUBILITY 170 MILLIGRAM / MILLILITER IN WATER
772, TIAGABINE , 115103-54-3 ,1997,  ,  ,  , ORAL ,71.5,6.5,8,96,90,,  ,0.75, SOLUBILITY SPARINGLY SOLUBLE IN WATER
773, ROPINIROLE , 91374-21-9 ,1997,  ,  ,  , ORAL ,487.5,47,6,40,55,,  ,1.5, SOLUBILITY OF 133 MILLIGRAM / MILLILITER IN WATER
774, RITONAVIR , 155213-67-5 ,1996,  ,  ,  , ORAL ,26.6,8.8,4,98.5,,15.5, MICROMOLAR ,3, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
775, CABERGOLINE , 81409-90-7 ,1996,  ,  ,  , ORAL ,18285,192,66,41,,0.11, NANOMOLAR ,2.5, SOLUBILITY INSOLUBLE IN WATER
776, VALSARTAN , 137862-53-4 ,1996,  ,  ,  , ORAL ,17,2,6,95,25,,  ,3, SOLUBILITY SLIGHTLY SOLUBLE IN WATER
777, ALBENDAZOLE , 54965-21-8 ,1996,  ,  ,  1656  , ORAL ,,,,,,,  ,, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
778, TOPOTECAN , 123948-87-8 ,1996,  ,  ,  , INJECTION ORAL INTRAVENOUS ,117,50.7,2.5,35,40,,  ,1.5, SOLUBILITY SOLUBLE IN WATER
779, SPARFLOXACIN , 110871-86-8 ,1996, DISCONTINUED ,  ,  , ORAL ,253,11.4,20,45,92,3.3, MICROMOLAR ,4.5, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
780, MIGLITOL , 72432-03-2 ,1996,  ,  ,  , ORAL ,11.7,6.6,2,4,,,  ,2.5, SOLUBILITY SOLUBLE IN WATER
781, MIFEPRISTONE , 84371-65-3 ,2000,  ,  ,  , ORAL ,,,18,98,69,4.6, NANOMOLAR ,1.5, SOLUBILITY POORLY SOLUBLE IN WATER
782, OLOPATADINE , 113806-05-6 ,1996,  ,  ,  , OPHTHALMIC NASAL ,,,10,55,57,47.4, NANOMOLAR ,0.75, SOLUBILITY SOLUBLE IN WATER
783, DONEPEZIL , 120014-06-4 ,1996,  ,  ,  , ORAL ,910,8.4,70,96,,160, NANOMOLAR ,3, SOLUBILITY SOLUBLE IN WATER
784, GREPAFLOXACIN , 119914-60-2 ,1997, DISCONTINUED ,  ,  , ORAL ,325,15,15,50,70,4.9, MICROMOLAR ,, SOLUBILITY SOLUBLE IN WATER
785, FOMEPIZOLE , 7554-65-6 ,1997,  ,  ,  , INJECTION ,52.6,,,,,300, MICROMOLAR ,, SOLUBILITY SOLUBLE IN WATER
786, TOLCAPONE , 134308-13-7 ,1998,  ,  ,  , ORAL ,9,7,2.5,99.9,65,21.9, MICROMOLAR ,2, 
787, ATORVASTATIN , 134523-00-5 ,1996,  ,  ,  , ORAL ,381,18.8,14,98,14,,  ,1.5, SOLUBILITY IS VERY SLIGHTLY SOLUBLE IN DISTILLED WATER PH 7.4 PHOSPHATE BUFFER
788, MODAFINIL , 68693-11-8 ,1998,  ,  ,  , ORAL ,58,2.6,15,60,,,  ,3, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
789, EPTIFIBATIDE , 148031-34-9 ,1998,  ,  ,  , INJECTION ,11.05,4.6,4.2,25,,,  ,, 
790, TROGLITAZONE , 97322-87-7 ,1997, DISCONTINUED ,  ,  , ORAL ,1202,29.7,25,99,,6.39, MICROMOLAR ,, 
791, IMIQUIMOD , 99011-02-6 ,1997,  ,  ,  , TOPICAL ,,,29.3,,,1.34, NANOMOLAR ,9, 
792, LETROZOLE , 112809-51-5 ,1997,  ,  ,  , ORAL ,123.5,2.22,48,39,,,  ,, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
793, CERIVASTATIN , 145599-86-6 ,1997, DISCONTINUED ,  ,  , ORAL ,19.5,12.5,3,99,60,27.6, MICROMOLAR ,2, SOLUBILITY SOLUBLE IN WATER
794, REPAGLINIDE , 135062-02-1 ,1997,  ,  ,  , ORAL ,31,38,1,98,56,145.5, NANOMOLAR ,1, 
795, EXEMESTANE , 107868-30-4 ,1999,  ,  ,  , ORAL ,20000,500,24,90,,,  ,2.9, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
796, IRBESARTAN , 138402-11-6 ,1997,  ,  ,  , ORAL ,73,9.9,13,90,70,,  ,1.75, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
797, NARATRIPTAN , 121679-13-8 ,1998,  ,  ,  , ORAL ,170,25.7,6,30,70,,  ,2.5, SOLUBILITY READILY SOLUBLE IN WATER
798, ORLISTAT , 96829-58-2 ,1999,  ,  ,  , ORAL ,,,1.5,99,,,  ,8, SOLUBILITY INSOLUBLE IN WATER
